LAT;;;;;47.4662;47.4662;47.4662;47.4662,,,,,,,,
LON;;;;;-121.931;-121.931;-121.931;-121.931,,,,,,,,
ASL;;;;;413.000;413.000;413.000;413.000,,,,,,,,
CITY;;;;;Tiger Pass;Tiger Pass;Tiger Pass;Tiger Pass,,,,,,,,
DOMAIN;;;;;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL,,,,,,,,
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd,,,,,,,,
NAME;;;;;Temperature;Total Precipitation;Wind speed;Wind direction,,,,,,,,
UNIT;;;;;°C;mm;km/h;°,,,,,,,,
AGGREGATION;;;;;;;;,,,,,,,,
UTC_OFFSET;;;;;-7;-7;-7;-7,,,,,,,,
,,,,,,,,
Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Total Precipitation  [sfc],Wind speed  [10 m above gnd],Wind direction  [10 m above gnd]
2017,4,24,6,0,3.96,0,2.04,45
2017,4,24,7,0,3.93,0,2.6,33.69
2017,4,24,8,0,5.19,0,3.4,32.01
2017,4,24,9,0,6.68,0,4.21,19.98
2017,4,24,10,0,8.45,0,4.69,4.4
2017,4,24,11,0,9.82,0,5.45,352.41
2017,4,24,12,0,11.18,0,7.07,345.26
2017,4,24,13,0,9.65,0,7.9,335.77
2017,4,24,14,0,9.25,0,8.5,323.62
2017,4,24,15,0,9.21,0,8.65,315
2017,4,24,16,0,9.09,0,8.79,304.99
2017,4,24,17,0,8.95,0.1,8.53,297.65
2017,4,24,18,0,8.67,0.1,8.09,290.85
2017,4,24,19,0,8.36,0,8.12,282.8
2017,4,24,20,0,7.49,0,7.64,278.13
2017,4,24,21,0,7.49,0,6.49,273.18
2017,4,24,22,0,7.19,0,6.13,266.63
2017,4,24,23,0,7,0,6.52,263.66
2017,4,25,0,0,6.98,0,7.28,261.47
2017,4,25,1,0,6.79,0.1,7.28,261.47
2017,4,25,2,0,6.71,0.1,7.34,258.69
2017,4,25,3,0,6.42,0,7.34,258.69
2017,4,25,4,0,5.99,0,7.42,255.96
2017,4,25,5,0,5.63,0,7.17,252.47
2017,4,25,6,0,5.23,0,6.49,250.56
2017,4,25,7,0,5.3,0,6.15,249.44
2017,4,25,8,0,6.62,0,5.82,248.2
2017,4,25,9,0,9.56,0,5.82,248.2
2017,4,25,10,0,8.35,0,5.63,243.43
2017,4,25,11,0,9.68,0,5.5,238.39
2017,4,25,12,0,10.56,0,4.39,235.01
2017,4,25,13,0,9.84,0,4.61,231.34
2017,4,25,14,0,11.41,0,5.4,233.13
2017,4,25,15,0,11.93,0,4.69,237.53
2017,4,25,16,0,10.39,0,5.63,243.43
2017,4,25,17,0,9.15,0.1,5.82,248.2
2017,4,25,18,0,9.12,0.6,3.22,243.43
2017,4,25,19,0,8.22,0.5,1.14,161.57
2017,4,25,20,0,7.94,0.4,4.51,118.61
2017,4,25,21,0,7.53,0.4,5.99,122.74
2017,4,25,22,0,7.37,0.4,7.39,133.03
2017,4,25,23,0,7.21,0.3,8.16,138.58
